Closed,Name,City,Market
2/16/2020,Davie Village,Vancouver,BritishColumbia\Vancouver
2/14/2020,Westwood & Missouri,Westwood,California\LosAngelesCounty
2/14/2020,Myrtle & West - Eureka,Eureka,California\NorthernCalifornia
2/14/2020,9th & Taylor,Portland,Oregon\Portland
2/2/2020,The Waterboat House,Singapore,Singapore
1/31/2020,6th & Union,Seattle,Washington\Seattle
1/26/2020,The Shops at Tanforan,San Bruno,California\SanMateoCounty
1/26/2020,"Salem, OR",Salem,Oregon\WestCentralOregon
1/26/2020,Post Oak & 610 (Uptown Park),Houston,Texas\Houston
1/22/2020,14 Wall St,New York,NewYork\NewYorkCity
1/19/2020,Towne Center (B&N),Marietta,Georgia\Atlanta
1/19/2020,Brandon Town Center-South,Brandon,Florida\Tampa
1/19/2020,103rd & Broadway,New York,NewYork\NewYorkCity
1/18/2020,Huebner Oaks,San Antonio,Texas\SanAntonio
1/17/2020,Ghent,Norfolk,Virginia\ChesapeakeBayRegion
1/15/2020,Glendale & Glenfeliz,Los Angeles,California\LosAngeles
1/13/2020,5th & Hill,Los Angeles,California\LosAngeles
1/12/2020,Park Meadows - The Vistas,Lone Tree,Colorado\Denver
1/12/2020,Kitsilano Beach,Vancouver,BritishColumbia\Vancouver
1/12/2020,Brookline-Washington Sq.,Brookline,Massachusetts\Boston
1/5/2020,4th & Slide,Lubbock,Texas\Lubbock
1/2/2020,Horton Plaza - Pavilion Area,San Diego,California\SanDiego
12/31/2019,"Baltimore & El Cajon, La Mesa",La Mesa,California\SanDiego
12/30/2019,St-Denis & Ontario,Montreal,Quebec\Montreal
12/29/2019,Oakridge Centre,Vancouver,BritishColumbia\Vancouver
12/27/2019,7355 Bayview Ave,Thornhill,Ontario\GreaterTorontoArea
12/27/2019,220 Wilson St E,Ancaster,Ontario\HamiltonRegion
12/26/2019,3883 Rutherford Rd,Woodbridge,Ontario\GreaterTorontoArea
12/23/2019,Homestead & Wolfe - Cupertino,Cupertino,California\SantaClaraCounty
12/22/2019,King Street West & Blue Jays Way,Toronto,Ontario\Toronto
12/9/2019,McKinney & San Jacinto,Houston,Texas\Houston
12/3/2019,Chauveau & L`Ormiere,Quebec,Quebec\QuebecCity
12/1/2019,16th & Alton,Miami Beach,Florida\Miami
11/29/2019,4th & Brannan - WFB,San Francisco,California\SanFrancisco
11/25/2019,Les Galeries Chagnon,Levin,Quebec\QuebecCity
11/22/2019,50 Peel Centre Dr,Brampton,Ontario\PeelRegion
11/11/2019,56th & Capitol,Milwaukee,Wisconsin\Milwaukee
11/4/2019,1855 Burrard Street,Vancouver,BritishColumbia\Vancouver
11/3/2019,Whistler Village,Whistler,BritishColumbia\Vancouver
11/3/2019,4098 Piedmont Avenue - Oakland,Oakland,California\AlamedaCounty
11/1/2019,Genco Place,Calgary,Alberta\Calgary
11/1/2019,Appian & Valley View - El Sobrante,El Sobrante,California\ContraCostaCounty
10/31/2019,"River & Campbell, Tucson",Tucson,Arizona\Tucson
10/30/2019,McKenzie & Teakwood - Tuscany,Victoria,BritishColumbia\VancouverIsland
10/30/2019,1210 8th Street SW,Calgary,Alberta\Calgary
10/26/2019,Strathcona Chapters,Edmonton,Alberta\Edmonton
10/25/2019,Mainland & Nelson Yaletown Park,Vancouver,BritishColumbia\Vancouver
10/25/2019,Langley City Square,Langley,BritishColumbia\Vancouver
10/25/2019,Harvard Street,Brookline,Massachusetts\Boston
10/22/2019,Jasper Ave & 119 St,Edmonton,Alberta\Edmonton
10/21/2019,99th Ave & 105 Street,Edmonton,Alberta\Edmonton
10/20/2019,Northgate Mall,Seattle,Washington\Seattle
10/18/2019,Atrium 1 - 5th Ave & 8th St,Calgary,Alberta\Calgary
10/18/2019,1231 Market Street,San Francisco,California\SanFrancisco
10/14/2019,The Grange,Edmonton,Alberta\Edmonton
10/14/2019,19 Mapleview Dr,Barrie,Ontario\GreaterTorontoArea
10/11/2019,Scona Market,Edmonton,Alberta\Edmonton
10/11/2019,Panorama Hills,Calgary,Alberta\Calgary
10/11/2019,4th & Bayswater,Vancouver,BritishColumbia\Vancouver
10/8/2019,Kensington - Calgary,Calgary,Alberta\Calgary
10/7/2019,Promontory SC-Vedder & Promontory,Chilliwack,BritishColumbia\Vancouver
10/7/2019,Oak Street & 67th Avenue,Vancouver,BritishColumbia\Vancouver
10/7/2019,Manning Fwy & Manning,Edmonton,Alberta\Edmonton
10/7/2019,High Street,Edmonton,Alberta\Edmonton
10/6/2019,West Hollywood,Portland,Oregon\Portland
10/6/2019,Sumas Mountain Village,Abbotsford,BritishColumbia\Vancouver
10/4/2019,The Bow,Calgary,Alberta\Calgary
10/4/2019,Silver Creek & Beaumont Canyon,San Jose,California\SantaClaraCounty
10/4/2019,125 S Market - Cityview Plaza,San Jose,California\SantaClaraCounty
10/3/2019,Silverado Marketplace,Calgary,Alberta\Calgary
10/1/2019,Germain des Pres & Laurier,Quebec,Quebec\QuebecCity
10/1/2019,204 Rideau Street-Ottawa,Ottawa,Ontario\Ottawa
10/1/2019,Nexen Building,Calgary,Alberta\Calgary
9/30/2019,Lebourgneuf & Le Mesnil,Quebec,Quebec\QuebecCity
9/30/2019,"Foothill & D Street, La Verne",La Verne,California\SanGabrielValley
9/30/2019,Eagle Ridge - Lansdowne & Guildford,Coquitlam,BritishColumbia\Vancouver
9/30/2019,30 Carlton St E - Holiday Inn,Toronto,Ontario\Toronto
9/30/2019,170th St & 90th Ave NW,Edmonton,Alberta\Edmonton
9/30/2019,109 Garneau,Edmonton,Alberta\Edmonton
9/30/2019,101-844 March Road,Kanata,Ontario\Ottawa
9/30/2019,40 Avenue Henri Barbusse,Villeurbanne,France\Rhone
9/29/2019,South Windermere,Charleston,SouthCarolina\Charleston
9/29/2019,Kingsway - Station Square,Burnaby,BritishColumbia\Vancouver
9/27/2019,600 Avenue du President Kennedy,Montreal,Quebec\Montreal
9/27/2019,20th & Burnside- Portland,Portland,Oregon\Portland
9/24/2019,7th & H Chinatown,Washington,WashingtonDC\WashingtonDC
9/22/2019,Shaw & Feland - Fresno,Fresno,California\CentralValley
9/20/2019,Van Buren,Chicago,Illinois\Chicago
9/19/2019,Montgomery & Sutter,San Francisco,California\SanFrancisco
9/19/2019,76 Barrie View Dr,Barrie,Ontario\GreaterTorontoArea
9/15/2019,Tulalip Outlet South,Marysville,Washington\Seattle
9/9/2019,Rogue Valley Mall - Medford,Medford,Oregon\SouthernOregon
9/9/2019,57th & Eighth,New York,NewYork\NewYorkCity
9/1/2019,Ballard/FredMeyer,Seattle,Washington\Seattle
9/1/2019,39 W Broadway,Eugene,Oregon\WestCentralOregon
8/31/2019,St. Clair & Christie,Toronto,Ontario\Toronto
8/6/2019,Fourth & Blanchard,Seattle,Washington\Seattle
8/1/2019,Chadds Ford,Glen Mills,Pennsylvania\Philadelphia
7/26/2019,105 W. Adams,Chicago,Illinois\Chicago
7/26/2019,"Deer Park, Rt. 231",Deer Park,NewYork\LongIsland
7/24/2019,99th & Broadway,New York,NewYork\NewYorkCity
7/22/2019,60th and Broadway,New York,NewYork\NewYorkCity
7/22/2019,301 Ouelette Ave,Windsor,Ontario\Windsor
7/21/2019,Quail & Coors,Albuquerque,NewMexico\Albuquerque
7/14/2019,J & 26th Sacramento,Sacramento,California\Sacramento
7/9/2019,Phinney Ridge,Seattle,Washington\Seattle
7/1/2019,Lake Grove,Lake Oswego,Oregon\Portland
6/30/2019,Galt Ocean Marketplace,Ft. Lauderdale,Florida\BrowardCounty
6/30/2019,Pentagon Row,Arlington,Virginia\NorthernVirginia
6/29/2019,Main & Keefer,Vancouver,BritishColumbia\Vancouver
6/26/2019,"Amherst, North Pleasant St.",Amherst,Massachusetts\WesternMassachusetts
6/26/2019,34th btwn 7th & 8th,New York,NewYork\NewYorkCity
6/24/2019,222 Broadway,New York,NewYork\NewYorkCity
6/23/2019,"Colorado & Bonnie, Pasadena",Pasadena,California\Verdugos
6/23/2019,Brookfield Square,Brookfield,Wisconsin\Milwaukee
6/17/2019,Modesto Promenade,Modesto,California\ModestoStockton
6/16/2019,Mission & Cedar,Fremont,California\AlamedaCounty
6/14/2019,Columbia City,Seattle,Washington\Seattle
6/9/2019,Central Ave & San Fernando Rd,Glendale,California\SanFernandoValley
5/28/2019,Hillsdale,Hillsdale,NewJersey
5/27/2019,42nd & 6th,New York,NewYork\NewYorkCity
5/26/2019,West Road & Beltway 8,Houston,Texas\Houston
5/24/2019,Park & Sheen,St. Petersburg,Florida\Tampa
5/24/2019,Champaign - 5th & Green,Champaign,Illinois\IllinoisRemoteMarkets
5/22/2019,44th & Lex,New York,NewYork\NewYorkCity
5/13/2019,Shiloh & Hembree,Windsor,California\SonomaCounty
5/12/2019,34th & 7th,New York,NewYork\NewYorkCity
5/5/2019,Yorkridge Center North,Cockeysville,Maryland\Baltimore
5/1/2019,Orenco Station,Hillsboro,Oregon\Portland
4/29/2019,Vienna Marketplace,Vienna,Virginia\NorthernVirginia
4/29/2019,19th & Chestnut,Philadelphia,Pennsylvania\Philadelphia
4/26/2019,Wheaton Town Center,Wheaton,Illinois\Chicagoland
4/25/2019,Stephens & West Broadway,Vancouver,BritishColumbia\Vancouver
4/25/2019,Parliament & Aberdeen,Toronto,Ontario\Toronto
4/24/2019,Touhy & Central,Niles,Illinois\Chicagoland
4/23/2019,Huntington Hills,Calgary,Alberta\Calgary
4/20/2019,Haywood Mall,Greenville,SouthCarolina\Greenville
4/19/2019,"11400 S & State St, Sandy",Sandy,Utah
4/15/2019,St. Johns,Portland,Oregon\Portland
4/14/2019,Market & Garland,Spokane,Washington\Spokane
4/14/2019,2nd Ave. & 9th Street,New York,NewYork\NewYorkCity
4/13/2019,Penn Square Mall,Oklahoma City,Oklahoma\OklahomaCity
4/7/2019,125th St. btwn Adam Clayton & FDB,New York,NewYork\NewYorkCity
4/1/2019,801 18th Street,Washington,WashingtonDC\WashingtonDC
3/30/2019,2300 Wisconsin Ave.,Washington,WashingtonDC\WashingtonDC
3/29/2019,El Camino & El Camino Way,Palo Alto,California\SantaClaraCounty
3/29/2019,DeAnza & Hwy 85,San Jose,California\SantaClaraCounty
3/26/2019,Broadway & Everett Ave,Everett,Washington\Seattle
3/25/2019,Lakeforest Mall,Gaithersburg,Maryland\WashingtonDCArea
3/24/2019,Lincoln & Belden,Chicago,Illinois\Chicago
3/24/2019,"Glendale & Wilson, Glendale",Glendale,California\SanFernandoValley
3/24/2019,Clark & Germania Place,Chicago,Illinois\Chicago
3/24/2019,"Cedar & Shepherd, Fresno",Fresno,California\CentralValley
3/24/2019,"Bob Hope Drive & Hwy 111, Rancho Mi",Rancho Mirage,California\PalmSprings
3/24/2019,Colorado Springs,Colorado Springs,Colorado\ColoradoSprings
3/22/2019,Lionville,Lionville,Pennsylvania\Philadelphia
3/22/2019,Kenaston Crossing,Winnipeg,Manitoba
3/22/2019,East Hastings & Kamloops,Vancouver,BritishColumbia\Vancouver
3/19/2019,Old Lahaina Ctr - Wainee & Papalaua,Lahaina,Hawaii\Maui
3/17/2019,39th & Holgate- Portland,Portland,Oregon\Portland
3/16/2019,Midway Crossing,Kent,Washington\Tacoma
3/3/2019,Shoreline & Almonte - Mill Valley,Mill Valley,California\MarinCounty
3/1/2019,Pac-West,Portland,Oregon\Portland
2/28/2019,Huntington Drive & San Gabriel,Pasadena,California\Verdugos
2/23/2019,15th & Ninth,New York,NewYork\NewYorkCity
2/22/2019,Westshore Plaza,Tampa,Florida\Tampa
2/22/2019,Scottsdale Fashion Square,Scottsdale,Arizona\Phoenix
2/22/2019,Oxford Park,Edmonton,Alberta\Edmonton
2/22/2019,Orchard Lake Rd & Powers,West Bloomfield,Michigan\Detroit
2/22/2019,North & Sheffield,Chicago,Illinois\Chicago
2/22/2019,Harvard Square,Cambridge,Massachusetts\Boston
2/22/2019,9th & G,Washington,WashingtonDC\WashingtonDC
2/22/2019,311 S. Wacker,Chicago,Illinois\Chicago
2/21/2019,Ulmerton & 40th,Clearwater,Florida\StPetersburg
2/21/2019,Triangle Towne Mall,Raleigh,NorthCarolina\RaleighDurhamChapelHill
2/21/2019,South Bay Galleria - Redondo Beach,Redondo Beach,California\LosAngelesCountySouthBay
2/21/2019,77 H,Washington,WashingtonDC\WashingtonDC
2/21/2019,21st & P Street,Washington,WashingtonDC\WashingtonDC
2/20/2019,Scotia Centre,Calgary,Alberta\Calgary
2/20/2019,Newport Village,Calgary,Alberta\Calgary
2/20/2019,La Paz & Aliso Creek,Laguna Niguel,California\OrangeCounty
2/20/2019,Centre St & 9 Ave N,Calgary,Alberta\Calgary
2/18/2019,Gurnee Mills Mall,Gurnee,Illinois\Chicagoland
2/18/2019,Countryside Blvd & Hwy 19,Clearwater,Florida\StPetersburg
2/18/2019,Bel Air Marketplace,Bel Air,Maryland\Baltimore
2/17/2019,Tatum & Shea,Phoenix,Arizona\Phoenix
2/14/2019,Plaza Square & East Chapman,Orange,California\OrangeCounty
2/13/2019,Tanger Outlet at Hilton Head,Bluffton,SouthCarolina\HiltonHead
2/13/2019,Belltown,Seattle,Washington\Seattle
2/10/2019,Woodinville,Woodinville,Washington\Seattle
2/10/2019,"Telephone & Portola, Ventura",Ventura,California\Ventura
2/10/2019,Point Loma,San Diego,California\SanDiego
2/1/2019,Macy`s 2nd Floor,New York,NewYork\NewYorkCity
2/1/2019,Live Oak & El Camino Real,Menlo Park,California\SanMateoCounty
2/1/2019,Grand Bazaar,Las Vegas,Nevada\LasVegas
2/1/2019,Ernst August Galerie EG,Hannover,Germany\Niedersachsen
1/31/2019,Water & Whitehall Streets,New York,NewYork\NewYorkCity
1/31/2019,Church btwn Chambers and Warren XP,New York,NewYork\NewYorkCity
1/31/2019,76th & Columbus,New York,NewYork\NewYorkCity
1/31/2019,57th & Seventh,New York,NewYork\NewYorkCity
1/28/2019,Bothell QFC,Bothell,Washington\Seattle
1/27/2019,Southland Mall,Cutler Bay,Florida\Miami
1/27/2019,1400 Eureka Way - Redding,Redding,California\NorthernCalifornia
1/26/2019,428 King St N,Waterloo,Ontario\GreaterTorontoArea
1/25/2019,Mary & Washington,Sunnyvale,California\SantaClaraCounty
1/25/2019,Colorado & Middlefield - Palo Alto,Palo Alto,California\SantaClaraCounty
1/25/2019,183rd & Governor`s Hwy,Homewood,Illinois\Chicagoland
1/25/2019,1345 Ave. of the Americas Acquisiti,New York,NewYork\NewYorkCity
1/24/2019,Preston & 544 (B&N),Plano,Texas\DallasFortWorth
1/23/2019,Southland Center - MI,Taylor,Michigan\Detroit
1/23/2019,Church & Adelaide,Toronto,Ontario\Toronto
1/21/2019,Horton Plaza,San Diego,California\SanDiego
1/20/2019,Charlottesville Fashion Square,Charlottesville,Virginia\Charlottesville
1/20/2019,Boca Town Center Mall,Boca Raton,Florida\PalmBeachCounty
1/20/2019,201 Powell Street,San Francisco,California\SanFrancisco
1/20/2019,Freehold (B&N),Freehold,NewJersey
1/18/2019,Mall at Tuttle Crossing,Dublin,Ohio\Columbus
1/18/2019,31 Church,Cambridge,Massachusetts\Boston
1/17/2019,"Firestone & 605 Frwy, Norwalk",Norwalk,California\SouthEastLosAngeles
1/17/2019,4th & Oak,Portland,Oregon\Portland
1/16/2019,Crystal City,Arlington,Virginia\NorthernVirginia
1/15/2019,Biltmore Hotel,Providence,RhodeIsland
1/13/2019,The Marketplace Mall,Rochester,NewYork\Rochester
1/13/2019,Cielo Vista Mall,El Paso,Texas\ElPaso
1/11/2019,University & Vermont,San Diego,California\SanDiego
1/11/2019,Sansome,San Francisco,California\SanFrancisco
1/11/2019,Annapolis Mall - North,Annapolis,Maryland\Annapolis
1/11/2019,Waterside shops,Naples,Florida\Naples
1/7/2019,3815 J St Sacramento,Sacramento,California\Sacramento
1/6/2019,Springs Plaza,Longwood,Florida\Orlando
1/6/2019,Red Rd & NW 176th St,Miami,Florida\Miami
1/6/2019,Masonic & Geary,San Francisco,California\SanFrancisco
1/6/2019,I-35 & University,Round Rock,Texas\Austin
1/6/2019,Florida Mall - First Level,Orlando,Florida\Orlando
1/5/2019,"29th & University, San Diego",San Diego,California\SanDiego
1/2/2019,Park West Village,Morrisville,NorthCarolina\RaleighDurhamChapelHill
1/1/2019,Apto MTY TBR SUE,Monterrey,Mexico\NuevoLeon
1/1/2019,The Sands (Oceanside),Oceanside,NewYork\LongIsland
1/1/2019,Stern Center Potsdam,Potsdam,Germany\Berlin
12/31/2018,Rodney Parham & Treasure Hill,Little Rock,Arkansas
12/31/2018,Oak Grove & Treat,Concord,California\ContraCostaCounty
12/31/2018,Miramonte & Cuesta - Mtn. View,Mountain View,California\SantaClaraCounty
12/31/2018,Greenwood Park Mall,Greenwood,Indiana\Indianapolis
12/31/2018,E Blithedale & Lomita,Mill Valley,California\MarinCounty
12/31/2018,Almaden & Blossom Hill,San Jose,California\SantaClaraCounty
12/31/2018,9932 College Blvd - Corporate Woods,Overland Park,Kansas\KansasCityKansas
12/31/2018,75th and Quivira,Shawnee,Kansas\KansasCityKansas
12/31/2018,Kavanaugh & Pierce,Little Rock,Arkansas
12/30/2018,DuPont South,Washington,WashingtonDC\WashingtonDC
12/30/2018,Broadway and 9th,New York,NewYork\NewYorkCity
12/30/2018,225th & Kingsbridge Plaza,Bronx,NewYork\Bronx
12/30/2018,Telegraph & Ashby,Berkeley,California\AlamedaCounty
12/28/2018,Uniqlo Chicago,Chicago,Illinois\Chicago
12/28/2018,Ontario & Wabash - River North,Chicago,Illinois\Chicago
12/28/2018,394 Myrtle Ave,Brooklyn,NewYork\Brooklyn
12/28/2018,1700 W. Diversey,Chicago,Illinois\Chicago
12/26/2018,Gallery at Harborplace,Baltimore,Maryland\Baltimore
12/23/2018,Cypress & Bellew,Milpitas,California\SantaClaraCounty
12/23/2018,1225 Eye Street,Washington,WashingtonDC\WashingtonDC
12/12/2018,King & Dufferin,Toronto,Ontario\Toronto
12/2/2018,Manayunk,Manayunk,Pennsylvania\Philadelphia
12/2/2018,4th & South,Philadelphia,Pennsylvania\Philadelphia
12/2/2018,34th & Chestnut,Philadelphia,Pennsylvania\Philadelphia
12/1/2018,Broadway & Lincoln,Santa Monica,California\WestLosAngeles
11/30/2018,"4th & Lewis, Las Vegas",Las Vegas,Nevada\LasVegas
11/21/2018,York & Adelaide,Toronto,Ontario\Toronto
11/21/2018,111 W Washington St,Chicago,Illinois\Chicago
11/15/2018,564 Market Street,San Francisco,California\SanFrancisco
11/12/2018,15th & Broadway,Portland,Oregon\Portland
11/11/2018,US 17 & 29th Ave,Myrtle Beach,SouthCarolina\SouthCarolinaRemoteMarkets
11/8/2018,The Alameda & Chapman,Santa Clara,California\SantaClaraCounty
11/1/2018,Main & Bothelo,Walnut Creek,California\ContraCostaCounty
10/31/2018,Ventura & Yolanda,Tarzana,California\LosAngelesCounty
10/31/2018,N. Greene & E. Augusta,Spokane,Washington\Spokane
10/31/2018,Dexter Station,Seattle,Washington\Seattle
10/28/2018,Ogden - Harrison Blvd. and 44th,Ogden,Utah
10/27/2018,Brady & Farwell,Milwaukee,Wisconsin\Milwaukee
10/26/2018,Western & Howard - West Rogers Park,Chicago,Illinois\Chicago
10/26/2018,Clybourn & Division - Old Town Sq.,Chicago,Illinois\Chicago
10/22/2018,Stamford Library,Stamford,Connecticut\SouthernConnecticut
10/21/2018,Centinela & La Tijera,Los Angeles,California\LosAngeles
10/19/2018,Manassas,Manassas,Virginia\NorthernVirginia
10/14/2018,Rancho Bernardo & W. Bernardo,San Diego,California\SanDiego
10/14/2018,"Portage, IN-Willowcreek & Central",Portage,Indiana\NorthwestIndiana
10/14/2018,E Bidwell & Glenn Folsom,Folsom,California\Sacramento
10/1/2018,The Quarry - East,San Antonio,Texas\SanAntonio
10/1/2018,Kent Square,Blacksburg,Virginia\RoanokeLynchburg
10/1/2018,Dobson & Freeway,Mesa,Arizona\Phoenix
9/30/2018,54th & Lex,New York,NewYork\NewYorkCity
9/24/2018,Graham & Kennedy,Winnipeg,Manitoba
9/16/2018,Oak Tree,Seattle,Washington\Seattle
9/16/2018,Church & Shuter,Toronto,Ontario\Toronto
9/9/2018,Chapters Victoria,Victoria,BritishColumbia\VancouverIsland
9/1/2018,Kingston Road & Main,Toronto,Ontario\Toronto
9/1/2018,Patrick`s Street,Cork,Ireland\Cork
8/1/2018,Lake Stevens,Everett,Washington\Seattle
8/1/2018,Haggens - Bellingham,Bellingham,Washington\Bellingham
8/1/2018,Bloor & Ellis,Toronto,Ontario\Toronto
8/1/2018,10520 Yonge St,Richmond Hill,Ontario\GreaterTorontoArea
7/15/2018,Highland Marketplace,Renton,Washington\Seattle
7/13/2018,El Camino & Maria,Sunnyvale,California\SantaClaraCounty
7/12/2018,2293 Yonge Street,Toronto,Ontario\Toronto
7/1/2018,2nd & Cherry,Seattle,Washington\Seattle
7/1/2018,Ste-Catherine & Place Phillips,Montreal,Quebec\Montreal
7/1/2018,Elbow & Southland,Calgary,Alberta\Calgary
7/1/2018,2376 Princess Street,Kingston,Ontario\KingstonBelleville
7/1/2018,Sausalito,Sausalito,California\MarinCounty
6/28/2018,Downtown Disney West,Anaheim,California\OrangeCounty
6/24/2018,Bay & Bloor Indigo [OLD],Toronto,Ontario\Toronto
6/24/2018,Broadway & Cambie,Vancouver,BritishColumbia\Vancouver
6/1/2018,Burrard & Georgia,Vancouver,BritishColumbia\Vancouver
6/1/2018,201 Portage Ave,Winnipeg,Manitoba
6/1/2018,542 College / Euclid,Toronto,Ontario\Toronto
6/1/2018,Sunrise Mall,Massapequa,NewYork\LongIsland
6/1/2018,10 Disera Dr,Vaughan,Ontario\GreaterTorontoArea
6/1/2018,HSBC Bank Place,Edmonton,Alberta\Edmonton
6/1/2018,Oxford Summertown - Banbury Rd,Oxford,UnitedKingdom\Oxfordshire
5/31/2018,8th Street E & Louise Ave,Saskatoon,Saskatchewan
5/25/2018,761 Bay Street,Toronto,Ontario\Toronto
5/13/2018,Gulf View Square,Port Richey,Florida\Tampa
5/13/2018,3305 Fairview St,Burlington,Ontario\GreaterTorontoArea
5/1/2018,9th & Howard,San Francisco,California\SanFrancisco
5/1/2018,165 Broadway - 1 Liberty,New York,NewYork\NewYorkCity
5/1/2018,274 Wilson Avenue,North York,Ontario\GreaterTorontoArea
4/30/2018,3035 Argentia Rd,Mississauga,Ontario\PeelRegion
4/25/2018,"New Haven, Chapel Square",New Haven,Connecticut\SouthernConnecticut
4/15/2018,Lynchburg,Lynchburg,Virginia\RoanokeLynchburg
4/15/2018,670 Eglinton Ave W,Mississauga,Ontario\PeelRegion
4/1/2018,University and Broadway,Boulder,Colorado\Boulder
3/26/2018,43rd & Madison,New York,NewYork\NewYorkCity
3/25/2018,10th St. & West Ave.,Miami Beach,Florida\Miami
3/24/2018,Galloway,Absecon,NewJersey
3/20/2018,Stoneridge Mall - Pleasanton,Pleasanton,California\AlamedaCounty
3/1/2018,Jamieson Place SW,Calgary,Alberta\Calgary
3/1/2018,Parc & Milton.,Montreal,Quebec\Montreal
3/1/2018,92nd & Third,New York,NewYork\NewYorkCity
3/1/2018,Castle Rock,Castle Rock,Colorado\ColoradoSprings
3/1/2018,Church & Market - S.F.,San Francisco,California\SanFrancisco
2/23/2018,Front & Frederick,TORONTO,Ontario\Toronto
2/6/2018,Montague & Linebaugh,Tampa,Florida\Tampa
2/2/2018,Federal Hwy & Young Circle,Hollywood,Florida\BrowardCounty
2/1/2018,Bel Air Mall - First Level,Mobile,Alabama\Mobile
2/1/2018,1291 Commissioners Rd W,London,Ontario\LondonON
1/31/2018,1228 St. Clair Avenue West,Toronto,Ontario\Toronto
1/31/2018,Birchmount & Sheppard,Toronto,Ontario\Toronto
1/29/2018,"104th & Bannock, Northglenn",Northglenn,Colorado\Denver
1/28/2018,Hobart Crossing,Merrillville,Indiana\NorthwestIndiana
1/28/2018,205 College @ Beverly.,Toronto,Ontario\Toronto
1/28/2018,Moraga & Rheem,Moraga,California\ContraCostaCounty
1/28/2018,Houston Galleria 2nd floor [OLD],Houston,Texas\Houston
1/21/2018,Frankford & Old Denton Rd.,Carrollton,Texas\DallasFortWorth
1/18/2018,Ferndale Haggens,Ferndale,Washington\Bellingham
1/17/2018,Centre Rockland [OLD],Montreal,Quebec\Montreal
1/8/2018,Indian Trail @ Oak Brook Pkwy,Norcross,Georgia\Atlanta
1/8/2018,Capitol Hill,Seattle,Washington\Seattle
1/8/2018,Windsor Town Green,Windsor,California\SonomaCounty
1/7/2018,A1A & Pine Tree Drive,Indian Harbor Beach,Florida\SpaceCoast
1/1/2018,Torres de Satelite,Naucalpan,Mexico\MexicoState
1/1/2018,SE Corner 3rd & Hope (Wells Fargo),Los Angeles,California\LosAngeles
1/1/2018,Paradise Valley Mall,Phoenix,Arizona\Phoenix
1/1/2018,Macy`s 6th Floor,New York,NewYork\NewYorkCity
1/1/2018,3rd & Wilshire (Barnes & Noble),Santa Monica,California\WestLosAngeles
1/1/2018,Rene-Levesque & St-Alexandre,Montreal,Quebec\Montreal
1/1/2018,City Avenue & Monument,Philadelphia,Pennsylvania\Philadelphia
1/1/2018,1761 Rio Rancho Blvd,Rio Rancho,NewMexico\Albuquerque
1/1/2018,Dock Street (Annapolis),Annapolis,Maryland\Annapolis
1/1/2018,Marlborough Route 20,Marlborough,Massachusetts\Boston
12/31/2017,The Village Corte Madera,Corte Madera,California\MarinCounty
12/31/2017,Bayview Village/Chapters,Toronto,Ontario\Toronto
12/19/2017,Farmwell Road,Ashburn,Virginia\NorthernVirginia
12/11/2017,21 West (Ghent),Norfolk,Virginia\ChesapeakeBayRegion
12/4/2017,"Westlake, Detroit Road",Westlake,Ohio\Cleveland
12/3/2017,Butterfield & Meyers,Lombard,Illinois\Chicagoland
12/1/2017,Academy & Austin Bluffs,Colorado Springs,Colorado\ColoradoSprings
11/26/2017,Hwy 287 & S Boulder Rd- Lafayette,Lafayette,Colorado\Denver
11/26/2017,Kokomo - S Reed & Markland Ave,Kokomo,Indiana\IndianaRemoteMarkets
11/20/2017,3500 Plank Road,Fredericksburg,Virginia\Fredericksburg
11/14/2017,Gravenstein & Redwood,Sebastopol,California\SonomaCounty
11/13/2017,Lake & Nevada (Broadmoar),Colorado Springs,Colorado\ColoradoSprings
11/9/2017,12 Mile & Telegraph,Southfield,Michigan\Detroit
11/7/2017,Cameron Village - HT,Raleigh,NorthCarolina\RaleighDurhamChapelHill
11/1/2017,Galleria Mall [TEMP],Edina,Minnesota\Minneapolis
11/1/2017,Foster City & Marlin Cove - Foster,Foster City,California\SanMateoCounty
11/1/2017,Jean-Talon & Casgrain,Montreal,Quebec\Montreal
10/31/2017,Paseo & Golf Course Rd.,Albuquerque,NewMexico\Albuquerque
10/29/2017,Sutton Coldfield-Gracechurch C,Sutton Coldfield,UnitedKingdom\BirminghamUK
10/25/2017,Beltway 8 & Fairmont Pkwy,Pasadena,Texas\Houston
10/24/2017,Bollinger & DeAnza,San Jose,California\SantaClaraCounty
10/22/2017,University & 8th,Lubbock,Texas\Lubbock
10/16/2017,124th & Capitol,Wauwatosa,Wisconsin\Milwaukee
10/9/2017,South Salem,Salem,Oregon\WestCentralOregon
10/8/2017,Hereford - Commercial Street,Hereford,UnitedKingdom\Herefordshire
10/7/2017,"Frankfort, LaGrange Rd",Frankfort,Illinois\Chicagoland
10/2/2017,Parkside,Glen Allen,Virginia\Richmond
10/2/2017,326 Elgin Street,Ottawa,Ontario\Ottawa
10/1/2017,Munger Bldg,Birmingham,Alabama\Birmingham
9/28/2017,Far West Blvd. & Hart Ln.,Austin,Texas\Austin
9/27/2017,6378 York Road,Baltimore,Maryland\Baltimore
9/27/2017,C-470 & Kipling,Littleton,Colorado\Denver
9/26/2017,Collierville,Collierville,Tennessee\Memphis
9/26/2017,Town Center Pkwy & Brightman Blvd,Jacksonville,Florida\Jacksonville
