Closed,Name,City,Market
8/15/2021,Grove City Premium Outlets,Grove City,Pennsylvania\PennsylvaniaRemoteMarkets
8/15/2021,Chantilly Crossing,Chantilly,Virginia\NorthernVirginia
8/15/2021,Barton Creek Square Mall,Austin,Texas\Austin
8/15/2021,Oaks Mall - Food Court,Gainsville,Florida\Gainesville
8/15/2021,Columbiana Centre (Mall),Columbia,SouthCarolina\Columbia
8/15/2021,Aventura Mall- Upstairs,Aventura,Florida\Miami
8/15/2021,Roosevelt Field Mall-Lower Level,Garden City,NewYork\LongIsland
8/15/2021,Round Rock Premium Outlets,Round Rock,Texas\Austin
8/15/2021,Coastland Center,Naples,Florida\Naples
8/15/2021,International Plaza - NE Wing,Tampa,Florida\Tampa
8/15/2021,Tyrone Square,St. Petersburg,Florida\Tampa
8/15/2021,King of Prussia Mall -Plaza Level 1,King of Prussia,Pennsylvania\Philadelphia
8/15/2021,Battlefield Mall,Springfield,Missouri\Springfield
8/15/2021,Montgomery Mall,North Wales,Pennsylvania\Philadelphia
8/15/2021,King of Prussia Mall -Court Level 2,King of Prussia,Pennsylvania\Philadelphia
8/15/2021,St Johns Town Center Mall,Jacksonville,Florida\Jacksonville
8/15/2021,Arrowhead Towne Center,Glendale,Arizona\Phoenix
8/13/2021,Arundel Mills - Entrance 5,Hanover,Maryland\Baltimore
8/9/2021,Lake & Harlem - River Forest,River Forest,Illinois\Chicagoland
8/8/2021,25th & Main - Vancouver,Vancouver,Washington\SouthwesternWashington
8/8/2021,Erin Mills Town Centre,Mississauga,Ontario\PeelRegion
8/7/2021,E. Marginal Way & Norfolk,Tukwila,Washington\Seattle
8/6/2021,Oakville Place Mall,Oakville,Ontario\GreaterTorontoArea
8/3/2021,Downtown Bend,Bend,Oregon\CentralOregon
8/1/2021,Valley Plaza Mall - North Entrance,Bakersfield,California\KernCounty
8/1/2021,Mills at Jersey Gardens-Center Ct,Elizabeth,NewJersey
8/1/2021,Salish Plaza - Chilliwack,Chilliwack,BritishColumbia\Vancouver
8/1/2021,Fashion Outlets of Chicago,Rosemont,Illinois\Chicagoland
8/1/2021,Lehigh Valley Mall,Whitehall,Pennsylvania\PennsylvaniaRemoteMarkets
8/1/2021,5th Avenue Mall - Level 2,Anchorage,Alaska
8/1/2021,81st & Columbus,New York,NewYork\NewYorkCity
8/1/2021,North Academy & Chapel Hill,Colorado Springs,Colorado\ColoradoSprings
